channelTitle,month,total_engagement,total_likes,num_videos,avg_top_similarity
Microsoft Azure,2021-06-01,108424,743,4,0.15035358521767825
Microsoft Azure,2021-07-01,117800,1695,6,0.12412579252716373
Microsoft Azure,2021-08-01,96754,845,10,0.149393639813656
Microsoft Azure,2021-09-01,182246,1186,6,0.12743864651702666
Microsoft Azure,2021-10-01,92706,899,7,0.10815383935419641
Microsoft Azure,2021-11-01,154159,1754,8,0.1198368912286107
Microsoft Azure,2021-12-01,157732,1209,6,0.10158021715517766
Microsoft Azure,2022-01-01,119090,859,7,0.09315118208529416
Microsoft Azure,2022-02-01,229236,818,9,0.12832186520813396
Microsoft Azure,2022-03-01,350856,1830,14,0.11538751728791984
Microsoft Azure,2022-04-01,103085,1505,5,0.10329100137074815
Microsoft Azure,2022-05-01,371416,1470,11,0.12739121877739287
Microsoft Azure,2022-06-01,177650,1389,21,0.11550184776502688
Microsoft Azure,2022-07-01,30997,536,4,0.08343828451073142
Microsoft Azure,2022-08-01,69956,873,13,0.10968570046449651
Microsoft Azure,2022-09-01,27881,247,1,0.15087977400015987
Microsoft Azure,2022-10-01,18148,262,1,0.1322881406251937
Microsoft Azure,2022-11-01,21465,549,1,0.12619566581326694
Microsoft Azure,2022-12-01,37897,535,2,0.06286920576192744
Microsoft Azure,2023-01-01,13105,250,2,0.05875880205838282
Microsoft Azure,2023-02-01,4528,59,4,0.113784032410296
Microsoft Azure,2023-03-01,3188,67,3,0.1034643675668128
Microsoft Azure,2023-04-01,17024,145,4,0.14265495780479373
Microsoft Azure,2023-05-01,119023,853,13,0.1526658210039905
Microsoft Azure,2023-06-01,50596,865,13,0.11594032173990317
Microsoft Azure,2023-07-01,10991,130,3,0.1160820015801189
Microsoft Azure,2023-08-01,110298,1313,6,0.11789587571993283
Microsoft Azure,2023-09-01,58677,519,4,0.12243837359425902
Microsoft Azure,2023-10-01,13517,249,5,0.133779851369263
Microsoft Azure,2023-11-01,89967,354,6,0.1357734841793808
Microsoft Azure,2023-12-01,15037,191,3,0.18664272561875414
Microsoft Azure,2024-02-01,62188,756,8,0.10649250769932629
Microsoft Azure,2024-03-01,671,16,1,0.0400126735713678
Microsoft Azure,2024-04-01,8452,187,9,0.16177102061124252
Microsoft Azure,2024-05-01,27784,383,7,0.1451400299504865
Microsoft Azure,2024-06-01,10992,250,13,0.14054377189283015
Microsoft Azure,2024-07-01,16136,224,4,0.09117617022606211
Microsoft Azure,2024-08-01,3988,54,3,0.24046106373263862
Microsoft Azure,2024-09-01,998,26,1,0.0630276522867737
Microsoft Azure,2024-10-01,42143,590,3,0.12652959984367448
Microsoft Azure,2024-11-01,71533,812,7,0.13775554306284787
Microsoft Azure,2024-12-01,6596,140,7,0.15460178543189537
Microsoft Azure,2025-01-01,21486,374,6,0.17717863017420268
Microsoft Azure,2025-02-01,11416,274,14,0.21502140771733988
Microsoft Azure,2025-03-01,5996,117,11,0.1413750898859419
Microsoft Azure,2025-04-01,8738,213,10,0.2613061258991897
Microsoft Azure,2025-05-01,15201,330,21,0.21485323820355498
Microsoft Azure,2025-06-01,11065,243,18,0.2877234061990865
